pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2025-04-02,93.5,1.96,6.55,"White, Eli",642201,605483,field_out,hit_into_play,,,,,5.0,Eli White lines out to center fielder Andy Pages.,R,R,L,LAD,ATL,X,8.0,line_drive,0,0,2025,0.28,1.36,-0.06,2.78,,,,0,4,Top,129.04,78.72,,,,,-5.852656876968988,-135.96741829375,-7.014988896006531,4.788966308383426,28.935837244668893,-13.93209199087146,3.57,1.69,300.0,93.2,19.0,94.1,2385.0,6.6,778472,669257,571771,669242,571970,605141,624424,681624,606192,53.89,0.429,0.462,0.0,1.0,0.0,0.0,4.0,29,1,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,157.0,0.012,-0.254,73.0,6.7,0.652,0.254,93.2,-3,3,0.176,0.824,32,31,33,31,2,1,6.0,1.0,,,1.24,0.28,-0.28,51.1
FF,2025-04-02,94.1,1.91,6.51,"White, Eli",642201,605483,single,hit_into_play,,,,,2.0,Eli White singles on a soft bunt ground ball to first baseman Enrique Hernández. Stuart Fairchild to 3rd.,R,R,L,LAD,ATL,X,3.0,ground_ball,1,1,2025,0.78,1.54,-0.01,3.0,,656413.0,,1,2,Top,133.81,189.6,,,,,-6.7823226210607395,-136.7965723294294,-6.9014180703651595,11.189469117237724,28.029676865050774,-11.446281983287738,3.57,1.69,22.0,33.1,1.0,95.3,2480.0,6.9,778472,669257,571771,669242,571970,605141,624424,681624,606192,53.64,0.286,0.32,0.9,1.0,1.0,0.0,1.0,12,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,152.0,-0.035,0.19,,,0.294,-0.19,88.0,-2,2,0.279,0.721,32,31,33,31,1,0,6.0,1.0,,,1.02,0.78,-0.78,59.9
CU,2025-04-02,81.0,1.91,6.53,"White, Eli",642201,605483,,ball,,,,,13.0,Eli White singles on a soft bunt ground ball to first baseman Enrique Hernández. Stuart Fairchild to 3rd.,R,R,L,LAD,ATL,B,,,0,1,2025,-1.25,-0.55,-1.37,1.01,,656413.0,,1,2,Top,,,,,,,-4.936824930087567,-117.82343628393583,-4.670091315866475,-10.744468405641252,22.290861187563184,-36.61632324008709,3.62,1.87,,,,81.5,2496.0,6.6,778472,669257,571771,669242,571970,605141,624424,681624,606192,53.89,,,,,,,,12,2,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,319.0,0.0,0.021,,,,-0.021,,-2,2,0.279,0.721,32,31,33,31,1,0,6.0,1.0,,,4.03,-1.25,1.25,56.0
CU,2025-04-02,78.6,2.02,6.52,"White, Eli",642201,605483,,swinging_strike,,,,,13.0,Eli White singles on a soft bunt ground ball to first baseman Enrique Hernández. Stuart Fairchild to 3rd.,R,R,L,LAD,ATL,S,,,0,0,2025,-1.07,-0.58,-0.49,1.37,,656413.0,,1,2,Top,,,,,,,-3.486112521100051,-114.48161963799475,-3.265135661500456,-8.760328099096128,20.6734383792573,-36.92404583296364,3.57,1.69,,,,79.0,2515.0,6.5,778472,669257,571771,669242,571970,605141,624424,681624,606192,54.01,,,,,,,,12,1,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,325.0,0.0,-0.036,74.9,8.3,,0.036,,-2,2,0.279,0.721,32,31,33,31,1,0,6.0,1.0,,,4.26,-1.07,1.07,54.4
FF,2025-04-01,92.1,0.21,5.89,"White, Eli",642201,681911,strikeout,swinging_strike,,,,,13.0,Eli White strikes out swinging.,R,R,L,LAD,ATL,S,2.0,,1,2,2025,0.51,1.73,-0.18,1.4,,,,2,7,Top,,,,,,,-2.108429863320284,-133.751758778453,-9.310881889892505,6.573453165216445,31.560239952766157,-9.580087811489562,3.58,1.69,,,,92.3,2423.0,6.7,778487,669257,571771,669242,500743,605141,621035,681624,606192,53.79,,0.0,0.0,1.0,0.0,0.0,,51,4,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,166.0,0.013,-0.18,68.4,6.6,,0.18,,2,-2,0.88,0.12,29,31,29,31,1,0,1.0,1.0,,1.0,0.99,0.51,-0.51,62.1
SL,2025-04-01,83.3,0.24,6.15,"White, Eli",642201,681911,,ball,,,,,13.0,Eli White strikes out swinging.,R,R,L,LAD,ATL,B,,,0,2,2025,-0.63,0.25,-0.21,0.79,,,,2,7,Top,,,,,,,0.1927181527378562,-121.252838463874,-6.377079717781063,-6.267210855038281,23.468210317239,-28.65098765832867,3.63,1.65,,,,83.4,2340.0,6.3,778487,669257,571771,669242,500743,605141,621035,681624,606192,54.2,,,,,,,,51,3,Slider,3,1,1,3,1,3,1,3,Standard,Standard,212.0,0.0,0.023,,,,-0.023,,2,-2,0.88,0.12,29,31,29,31,1,0,1.0,1.0,,1.0,3.03,-0.63,0.63,65.6
SL,2025-04-01,82.4,0.32,6.09,"White, Eli",642201,681911,,swinging_strike,,,,,14.0,Eli White strikes out swinging.,R,R,L,LAD,ATL,S,,,0,1,2025,-0.47,0.07,0.1,1.07,,,,2,7,Top,,,,,,,0.4316558965761802,-120.06574665382716,-5.068940929449211,-4.663185473000401,22.08820156522583,-30.743375053803497,3.58,1.69,,,,82.5,2415.0,6.2,778487,669257,571771,669242,500743,605141,621035,681624,606192,54.33,,,,,,,,51,2,Slider,3,1,1,3,1,3,1,3,Standard,Standard,232.0,0.0,-0.058,71.2,8.4,,0.058,,2,-2,0.88,0.12,29,31,29,31,1,0,1.0,1.0,,1.0,3.26,-0.47,0.47,65.8
SL,2025-04-01,82.3,0.33,6.1,"White, Eli",642201,681911,,swinging_strike,,,,,7.0,Eli White strikes out swinging.,R,R,L,LAD,ATL,S,,,0,0,2025,-0.61,0.28,-0.38,1.73,,,,2,7,Top,,,,,,,-0.438007752639233,-119.9951343875706,-4.035923793920904,-5.870571956035097,20.368417738420057,-28.97134498443879,3.58,1.69,,,,82.6,2220.0,6.1,778487,669257,571771,669242,500743,605141,621035,681624,606192,54.39,,,,,,,,51,1,Slider,3,1,1,3,1,3,1,3,Standard,Standard,221.0,0.0,-0.041,69.2,8.3,,0.041,,2,-2,0.88,0.12,29,31,29,31,1,0,1.0,1.0,,1.0,3.04,-0.61,0.61,65.0
ST,2025-03-31,82.0,-2.43,6.14,"White, Eli",642201,472610,strikeout,swinging_strike,,,,,14.0,Eli White strikes out swinging.,R,R,R,LAD,ATL,S,2.0,,0,2,2025,1.04,0.16,0.21,1.4,,645277.0,,1,9,Top,,,,,,,3.967408101049864,-119.29383554372848,-4.440309623982647,9.009210988326933,24.803787469614324,-29.948084182064957,3.58,1.69,,,,82.1,2404.0,6.6,778500,669257,571771,669242,571970,605141,624424,621035,681624,53.91,,0.0,0.0,1.0,0.0,0.0,,72,4,Sweeper,6,1,1,6,1,6,1,6,Standard,Standard,51.0,0.005,-0.174,64.0,8.6,,0.174,,5,-5,0.994,0.006,38,31,38,31,1,0,2.0,,,1.0,3.25,-1.04,-1.04,44.3
ST,2025-03-31,82.3,-2.56,6.15,"White, Eli",642201,472610,,foul,,,,,6.0,Eli White strikes out swinging.,R,R,R,LAD,ATL,S,,,0,2,2025,0.96,0.16,0.7,2.29,,645277.0,,1,9,Top,,,,,,,5.551192158798869,-119.8108918205228,-2.526015835404265,8.107872966354286,24.080361831724,-30.37629834111044,3.58,1.69,4.0,69.3,-26.0,82.4,2480.0,6.4,778500,669257,571771,669242,571970,605141,624424,621035,681624,54.07,,,,,,,,72,3,Sweeper,6,1,1,6,1,6,1,6,Standard,Standard,64.0,0.0,0.0,61.5,6.4,,0.0,88.0,5,-5,0.994,0.006,38,31,38,31,1,0,2.0,,,1.0,3.22,-0.96,-0.96,40.1
