pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2025-02-26,91.4,-2.61,5.13,"Harris, Brett",695391,658431,walk,ball,,,,,14.0,Brett Harris walks.,S,R,R,SEA,ATH,B,,,3,1,2025,-1.05,0.27,1.73,1.63,,669722.0,,2,6,Top,,,,,,,13.107634908034942,-132.50284843796177,-3.4668054475744925,-15.138016564073563,27.308138457114257,-28.425669737290168,3.29,1.66,,,,90.9,2341.0,6.1,779023,663728,668853,703197,680709,605346,692039,645302,814791,54.38,,,0.7,,0.0,0.0,,51,5,Changeup,1,7,7,1,7,1,7,1,Standard,Standard,245.0,0.0,0.056,,,,-0.056,,-6,6,0.024,0.976,28,27,29,27,1,0,,,,,2.47,1.05,1.05,
SI,2025-02-26,92.5,-2.54,5.18,"Harris, Brett",695391,658431,,called_strike,,,,,8.0,Brett Harris walks.,S,R,R,SEA,ATH,S,,,3,0,2025,-1.04,0.45,0.05,1.7,,669722.0,,2,6,Top,,,,,,,8.77293974768198,-134.39535467764074,-4.010380079579696,-14.506065829028117,29.32723475314175,-26.00143277510593,3.29,1.66,,,,91.6,2351.0,5.8,779023,663728,668853,703197,680709,605346,692039,645302,814791,54.67,,,,,,,,51,4,Sinker,1,7,7,1,7,1,7,1,Standard,Standard,238.0,0.0,-0.03,,,,0.03,,-6,6,0.024,0.976,28,27,29,27,1,0,,,,,2.22,1.04,1.04,
SI,2025-02-26,92.7,-2.57,5.21,"Harris, Brett",695391,658431,,ball,,,,,13.0,Brett Harris walks.,S,R,R,SEA,ATH,B,,,2,0,2025,-1.19,-0.18,-0.16,1.5,,669722.0,,2,6,Top,,,,,,,8.662206097544736,-134.7262374183986,-3.29855323868117,-16.391220210631413,27.612900140252137,-33.82932025268298,3.29,1.66,,,,92.1,2469.0,5.9,779023,663728,668853,703197,680709,605346,692039,645302,814791,54.64,,,,,,,,51,3,Sinker,1,7,7,1,7,1,7,1,Standard,Standard,240.0,0.0,0.048,,,,-0.048,,-6,6,0.024,0.976,28,27,29,27,1,0,,,,,2.82,1.19,1.19,
SI,2025-02-26,92.6,-2.44,5.2,"Harris, Brett",695391,658431,,ball,,,,,14.0,Brett Harris walks.,S,R,R,SEA,ATH,B,,,1,0,2025,-0.83,0.05,1.22,2.04,,669722.0,,2,6,Top,,,,,,,11.040308397115645,-134.4353544871498,-2.3535408386225978,-12.424885380107945,28.33923527630096,-31.299471477058876,3.29,1.66,,,,91.9,2430.0,5.9,779023,663728,668853,703197,680709,605346,692039,645302,814791,54.59,,,,,,,,51,2,Sinker,1,7,7,1,7,1,7,1,Standard,Standard,238.0,0.0,0.024,,,,-0.024,,-6,6,0.024,0.976,28,27,29,27,1,0,,,,,2.62,0.83,0.83,
CU,2025-02-26,82.8,-2.44,5.33,"Harris, Brett",695391,658431,,ball,,,,,14.0,Brett Harris walks.,S,R,R,SEA,ATH,B,,,0,0,2025,1.41,0.29,0.37,1.19,,669722.0,,2,6,Top,,,,,,,3.623990628259467,-120.4851587548344,-3.482560224322781,12.886289343131915,24.796242137381817,-28.84476093204887,3.29,1.66,,,,81.7,2846.0,5.7,779023,663728,668853,703197,680709,605346,692039,645302,814791,54.83,,,,,,,,51,1,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,71.0,0.0,0.014,,,,-0.014,,-6,6,0.024,0.976,28,27,29,27,1,0,,,,,3.05,-1.41,-1.41,
FC,2025-02-26,89.7,-0.94,5.65,"Harris, Brett",695391,701828,field_out,hit_into_play,,,,,3.0,Brett Harris pops out to first baseman Austin Shenton in foul territory.,S,R,R,SEA,ATH,X,3.0,popup,2,1,2025,-0.22,0.87,0.5,3.16,,,,0,8,Top,171.12,181.07,,,,,3.9798352997957434,-130.72373424853424,-2.060765333986283,-3.2637651055717676,25.23347811369087,-21.96803881303775,3.29,1.66,159.0,87.1,66.0,89.4,2294.0,5.8,779023,641924,668853,703197,680709,605346,692039,689041,814791,54.69,0.006,,0.0,,0.0,0.0,3.0,68,4,Cutter,1,8,8,1,8,1,8,1,Standard,Standard,219.0,0.001,-0.296,,,0.009,0.296,88.0,-7,7,0.003,0.997,22,27,22,27,1,1,,,,,1.94,0.22,0.22,
FC,2025-02-26,89.2,-0.86,5.6,"Harris, Brett",695391,701828,,ball,,,,,7.0,Brett Harris pops out to first baseman Austin Shenton in foul territory.,S,R,R,SEA,ATH,B,,,1,1,2025,-0.49,0.53,-0.57,1.61,,,,0,8,Top,,,,,,,1.7253684812642605,-129.97914714818847,-4.958896587264746,-5.943179617467609,25.706560951231477,-25.304877361782136,3.29,1.66,,,,89.2,2179.0,6.1,779023,641924,668853,703197,680709,605346,692039,689041,814791,54.42,,,,,,,,68,3,Cutter,1,8,8,1,8,1,8,1,Standard,Standard,219.0,0.0,0.053,,,,-0.053,,-7,7,0.003,0.997,22,27,22,27,1,1,,,,,2.31,0.49,0.49,
FF,2025-02-26,89.9,-0.97,5.55,"Harris, Brett",695391,701828,,foul,,,,,9.0,Brett Harris pops out to first baseman Austin Shenton in foul territory.,S,R,R,SEA,ATH,S,,,1,0,2025,-0.55,0.66,0.75,2.07,,,,0,8,Top,,,,,,,5.39930981090202,-130.84363755384044,-4.055174194468124,-7.460046858794403,27.099163894399503,-23.879951120360484,3.29,1.66,254.0,76.5,34.0,89.8,2211.0,6.1,779023,641924,668853,703197,680709,605346,692039,689041,814791,54.35,,,,,,,,68,2,4-Seam Fastball,1,8,8,1,8,1,8,1,Standard,Standard,204.0,0.0,-0.049,,,,0.049,88.0,-7,7,0.003,0.997,22,27,22,27,1,1,,,,,2.15,0.55,0.55,
SL,2025-02-26,81.4,-1.31,5.38,"Harris, Brett",695391,701828,,ball,,,,,14.0,Brett Harris pops out to first baseman Austin Shenton in foul territory.,S,R,R,SEA,ATH,B,,,0,0,2025,1.37,0.29,0.72,0.5,,,,0,8,Top,,,,,,,1.9340190399194073,-118.3902621687442,-4.777646223418054,12.28485995534454,25.776350541373496,-28.71993303195833,3.29,1.66,,,,80.1,2507.0,5.7,779023,641924,668853,703197,680709,605346,692039,689041,814791,54.79,,,,,,,,68,1,Slider,1,8,8,1,8,1,8,1,Standard,Standard,61.0,0.0,0.038,,,,-0.038,,-7,7,0.003,0.997,22,27,22,27,1,1,,,,,3.2,-1.37,-1.37,
SL,2025-02-24,88.9,-1.17,5.99,"Harris, Brett",695391,664199,walk,ball,,,,,14.0,Brett Harris walks.,S,R,R,KC,ATH,B,,,3,2,2025,0.45,0.57,0.74,1.11,,,,1,7,Top,,,,,,,3.712427524836481,-129.30519051208782,-7.046759018280147,4.312677777867309,26.90504965908236,-24.563495606093007,3.29,1.66,,,,88.4,2304.0,6.0,778943,657247,689531,686523,677954,801442,668472,678746,670231,54.48,,,0.7,,0.0,0.0,,55,7,Slider,1,1,1,1,1,1,1,1,Standard,Standard,191.0,-0.043,0.348,,,,-0.348,,0,0,0.539,0.461,32,27,32,27,1,0,,,,,2.32,-0.45,-0.45,
