pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2025-03-21,84.5,-2.24,5.59,"Stevenson, Cal",670276,621244,strikeout,swinging_strike,,,,,7.0,Cal Stevenson strikes out swinging.,S,L,R,TOR,PHI,S,2.0,,2,2,2025,-1.45,0.5,-0.8,1.76,679032.0,,,2,4,Top,,,,,,,6.267558131088811,-122.7277865122057,-3.470909076884734,-15.908750972637035,27.751251338451763,-26.62091158877367,3.1,1.56,,,,84.3,1504.0,6.6,778947,672386,665489,665926,676391,666182,543807,664770,680718,53.94,,,0.0,,0.0,0.0,,32,5,Changeup,4,0,0,4,0,4,0,4,,,252.0,0.021,-0.202,,,,0.202,,4,-4,0.898,0.102,31,28,31,29,2,1,,,,,2.74,1.45,-1.45,
CH,2025-03-21,85.9,-2.19,5.54,"Stevenson, Cal",670276,621244,,ball,,,,,13.0,Cal Stevenson strikes out swinging.,S,L,R,TOR,PHI,B,,,1,2,2025,-1.25,0.35,-0.06,1.03,679032.0,,,2,4,Top,,,,,,,7.620660775952096,-124.85647678578638,-5.178307683179199,-14.558408986480083,24.824673038495067,-27.603901703785265,3.1,1.56,,,,86.6,1512.0,6.7,778947,672386,665489,665926,676391,666182,543807,664770,680718,53.76,,,,,,,,32,4,Changeup,4,0,0,4,0,4,0,4,,,252.0,0.0,0.017,,,,-0.017,,4,-4,0.898,0.102,31,28,31,29,2,1,,,,,2.74,1.25,-1.25,
FF,2025-03-21,93.7,-2.04,5.9,"Stevenson, Cal",670276,621244,,foul,,,,,12.0,Cal Stevenson strikes out swinging.,S,L,R,TOR,PHI,S,,,1,1,2025,-0.77,1.26,0.64,3.47,679032.0,,,2,4,Top,,,,,,,8.618558697542987,-136.1294267289151,-3.266279970355301,-11.52101342929569,31.371763370459693,-16.04039366020054,3.1,1.56,134.0,73.5,73.0,93.4,2110.0,6.3,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.19,,,,,,,,32,3,4-Seam Fastball,4,0,0,4,0,4,0,4,,,217.0,0.0,-0.073,,,,0.073,88.0,4,-4,0.898,0.102,31,28,31,29,2,1,,,,,1.36,0.77,-0.77,
CH,2025-03-21,86.1,-2.33,5.63,"Stevenson, Cal",670276,621244,,called_strike,,,,,8.0,Cal Stevenson strikes out swinging.,S,L,R,TOR,PHI,S,,,1,0,2025,-1.14,0.42,0.16,1.78,679032.0,,,2,4,Top,,,,,,,8.239798335406299,-125.05652349404936,-3.715342062415737,-13.674291004005337,27.004600314513137,-27.14406147062836,3.1,1.56,,,,86.1,1549.0,6.5,778947,672386,665489,665926,676391,666182,543807,664770,680718,53.96,,,,,,,,32,2,Changeup,4,0,0,4,0,4,0,4,,,248.0,0.0,-0.039,,,,0.039,,4,-4,0.898,0.102,31,28,31,29,2,1,,,,,2.68,1.14,-1.14,
FC,2025-03-21,88.3,-2.28,5.81,"Stevenson, Cal",670276,621244,,ball,,,,,11.0,Cal Stevenson strikes out swinging.,S,L,R,TOR,PHI,B,,,0,0,2025,0.03,0.64,-0.08,3.32,679032.0,,,2,4,Top,,,,,,,5.279173021241459,-128.50460565926633,-1.2724880290651353,-0.7913626618626236,27.33612607459801,-25.05678137365798,3.1,1.56,,,,88.2,2302.0,6.3,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.2,,,,,,,,32,1,Cutter,4,0,0,4,0,4,0,4,,,214.0,0.0,0.032,,,,-0.032,,4,-4,0.898,0.102,31,28,31,29,2,1,,,,,2.29,-0.03,0.03,
SV,2025-03-21,82.8,-2.07,5.81,"Stevenson, Cal",670276,621244,hit_by_pitch,hit_by_pitch,,,,,14.0,Cal Stevenson hit by pitch.,S,L,R,TOR,PHI,B,,,1,2,2025,0.95,-0.46,2.27,0.21,679032.0,,,2,2,Top,,,,,,,8.06066004162094,-120.13291311526557,-5.23466616543976,7.22855718916941,27.119246405386317,-35.64970789199486,3.1,1.56,,,,82.3,2393.0,6.5,778947,672386,665489,665926,676391,666182,543807,664770,680718,53.99,,,0.7,,0.0,0.0,,13,5,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,35.0,-0.012,0.22,,,,-0.22,,0,0,0.512,0.488,31,28,31,29,1,0,,,,,3.85,-0.95,0.95,
SI,2025-03-21,93.2,-1.78,5.9,"Stevenson, Cal",670276,621244,,foul,,,,,3.0,Cal Stevenson hit by pitch.,S,L,R,TOR,PHI,S,,,1,2,2025,-1.46,1.21,0.42,2.86,679032.0,,,2,2,Top,,,,,,,8.86236834072963,-135.4196938677888,-4.683236594409572,-19.92471126911045,30.33587641682731,-16.422012759270874,3.1,1.56,146.0,74.3,26.0,93.2,2135.0,6.4,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.08,,,,,,,,13,4,Sinker,0,0,0,0,0,0,0,0,,,228.0,0.0,0.0,,,,0.0,88.0,0,0,0.512,0.488,31,28,31,29,1,0,,,,,1.43,1.46,-1.46,
FF,2025-03-21,94.0,-1.98,5.96,"Stevenson, Cal",670276,621244,,ball,,,,,12.0,Cal Stevenson hit by pitch.,S,L,R,TOR,PHI,B,,,0,2,2025,-0.58,1.51,1.04,2.65,679032.0,,,2,2,Top,,,,,,,9.120520397676444,-136.41341409601367,-6.160427235274067,-9.340372146984883,31.176844332619687,-12.144032718460096,3.1,1.56,,,,93.8,2276.0,6.4,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.12,,,,,,,,13,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,,215.0,0.0,0.018,,,,-0.018,,0,0,0.512,0.488,31,28,31,29,1,0,,,,,1.09,0.58,-0.58,
SI,2025-03-21,91.9,-1.94,5.85,"Stevenson, Cal",670276,621244,,swinging_strike,,,,,12.0,Cal Stevenson hit by pitch.,S,L,R,TOR,PHI,S,,,0,1,2025,-1.44,1.04,0.57,3.29,679032.0,,,2,2,Top,,,,,,,9.449099432442267,-133.47742994204805,-2.821311476303487,-19.29361161292062,30.619761202194553,-19.35496593885622,3.1,1.56,,,,91.6,2163.0,6.3,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.16,,,,,,,,13,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.0,-0.058,,,,0.058,,0,0,0.512,0.488,31,28,31,29,1,0,,,,,1.68,1.44,-1.44,
FC,2025-03-21,88.7,-2.2,5.87,"Stevenson, Cal",670276,621244,,called_strike,,,,,1.0,Cal Stevenson hit by pitch.,S,L,R,TOR,PHI,S,,,0,0,2025,-0.22,0.7,-0.43,2.83,,679032.0,,2,2,Top,,,,,,,4.798185608220683,-129.05655496312036,-2.7866802151293943,-3.5966983556398264,30.03617621176288,-23.973100859530412,3.1,1.56,,,,88.2,2338.0,6.3,778947,672386,665489,665926,676391,666182,543807,664770,680718,54.24,,,,,,,,13,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,197.0,-0.004,-0.04,,,,0.04,,0,0,0.516,0.484,31,28,31,29,1,0,,,,,2.22,0.22,-0.22,
