pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2025-03-25,88.3,-2.87,5.04,"Campero, Gustavo",672569,672277,strikeout,swinging_strike,,,,,1.0,Gustavo Campero strikes out swinging.,S,L,R,LAA,LAD,S,2.0,,0,2,2025,0.51,0.65,-0.53,2.97,,,,1,6,Bot,,,,,,,4.67132735404407,-128.47242871245086,-0.2260524576310812,4.475535522951984,30.797463637037175,-25.251483161655873,3.06,1.49,,,,88.4,2533.0,6.7,787997,608360,694838,621035,500743,683169,571771,681624,814307,53.77,,,0.0,,0.0,0.0,,43,3,Cutter,1,2,1,2,2,1,1,2,Infield shade,Standard,165.0,-0.028,-0.162,70.3,5.8,,0.162,,-1,-1,0.347,0.347,26,27,27,28,1,0,,,,,2.31,-0.51,0.51,
FC,2025-03-25,88.0,-2.72,5.12,"Campero, Gustavo",672569,672277,,swinging_strike,,,,,14.0,Gustavo Campero strikes out swinging.,S,L,R,LAA,LAD,S,,,0,1,2025,0.84,0.68,1.23,1.35,,,,1,6,Bot,,,,,,,7.918312349451534,-127.68876041101925,-4.312587410726803,7.027457285370107,32.556929986365866,-24.00047249786253,3.06,1.49,,,,87.9,2452.0,7.0,787997,608360,694838,621035,500743,683169,571771,681624,814307,53.54,,,,,,,,43,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,183.0,0.0,-0.057,45.1,7.9,,0.057,,-1,-1,0.347,0.347,26,27,27,28,1,0,,,,,2.34,-0.84,0.84,
SL,2025-03-25,81.0,-3.05,4.87,"Campero, Gustavo",672569,672277,,called_strike,,,,,1.0,Gustavo Campero strikes out swinging.,S,L,R,LAA,LAD,S,,,0,0,2025,1.46,-0.08,-0.43,2.5,,,,1,6,Bot,,,,,,,3.0792062694036684,-117.72925741345742,1.7409069336725362,12.505610579060022,28.618910513765755,-33.63889656307408,2.74,1.21,,,,80.8,2390.0,6.9,787997,608360,694838,621035,500743,683169,571771,681624,814307,53.62,,,,,,,,43,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,64.0,0.0,-0.037,,,,0.037,,-1,-1,0.347,0.347,26,27,27,28,1,0,,,,,3.65,-1.46,1.46,
FF,2025-03-25,97.6,-1.93,6.16,"Campero, Gustavo",672569,814527,field_out,hit_into_play,,,,,9.0,Gustavo Campero lines out sharply to first baseman Joe Vetrano.,S,L,R,LAA,LAD,X,3.0,line_drive,2,1,2025,-0.29,1.23,0.34,1.84,,,,0,9,Bot,161.0,163.27,,,,,6.791183741736965,-141.82335483161395,-8.938038975344059,-5.507252155314662,33.44861318366449,-13.650826377937886,3.06,1.49,128.0,104.2,8.0,97.7,2394.0,6.5,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.02,0.671,,0.0,,0.0,0.0,4.0,64,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,204.0,-0.021,-0.296,75.4,7.5,0.783,0.296,104.2,-3,-3,0.038,0.038,23,27,23,28,1,1,,,,,1.17,0.29,-0.29,
FF,2025-03-25,98.1,-1.86,6.17,"Campero, Gustavo",672569,814527,,called_strike,,,,,9.0,Gustavo Campero lines out sharply to first baseman Joe Vetrano.,S,L,R,LAA,LAD,S,,,2,0,2025,-0.24,1.4,0.56,1.52,,,,0,9,Bot,,,,,,,7.072719207434864,-142.24458159855314,-10.24616106356568,-4.956023833882675,35.8732380046388,-10.959233273161528,3.22,1.47,,,,97.5,2338.0,6.4,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.12,,,,,,,,64,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,204.0,0.0,-0.065,,,,0.065,,-3,-3,0.038,0.038,23,27,23,28,1,1,,,,,1.01,0.24,-0.24,
FF,2025-03-25,97.9,-1.75,6.26,"Campero, Gustavo",672569,814527,,ball,,,,,14.0,Gustavo Campero lines out sharply to first baseman Joe Vetrano.,S,L,R,LAA,LAD,B,,,1,0,2025,-0.23,1.16,1.08,2.24,,,,0,9,Bot,,,,,,,8.159657045663291,-142.1136448561262,-7.970913172110318,-5.012186996548961,33.81818853442366,-14.790969951459571,3.22,1.38,,,,97.5,2323.0,6.3,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.22,,,,,,,,64,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,204.0,0.0,0.069,,,,-0.069,,-3,-3,0.038,0.038,23,27,23,28,1,1,,,,,1.24,0.23,-0.23,
SI,2025-03-25,96.5,-1.91,6.11,"Campero, Gustavo",672569,814527,,ball,,,,,13.0,Gustavo Campero lines out sharply to first baseman Joe Vetrano.,S,L,R,LAA,LAD,B,,,0,0,2025,-0.91,0.41,-0.85,1.75,,,,0,9,Bot,,,,,,,4.9073099677738075,-140.4541288534135,-7.03010697495606,-13.202642659652833,30.474291031808875,-25.34395225524137,3.17,1.45,,,,96.9,2210.0,6.4,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.1,,,,,,,,64,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,193.0,0.0,0.038,,,,-0.038,,-3,-3,0.038,0.038,23,27,23,28,1,1,,,,,2.02,0.91,-0.91,
FF,2025-03-06,93.2,-0.74,5.79,"Campero, Gustavo",672569,806288,strikeout,called_strike,,,,,4.0,Gustavo Campero called out on strikes.,S,L,R,SEA,LAA,S,2.0,,1,2,2025,-0.76,1.38,-0.51,2.15,,677347.0,,2,7,Top,,,,,,,2.2423401527920843,-135.57563081219325,-6.5882434147991535,-9.887107714797748,29.836635419472632,-13.934224172488817,2.96,1.49,,,,93.1,2284.0,6.2,779015,675448,702112,801126,692044,605346,689041,681098,703155,54.26,,,0.0,,0.0,0.0,,58,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,213.0,0.04,-0.213,,,,0.213,,-1,1,0.314,0.686,24,27,25,28,1,0,,,,,1.25,0.76,-0.76,
SL,2025-03-06,81.2,-1.23,5.33,"Campero, Gustavo",672569,806288,,ball,,,,,11.0,Gustavo Campero called out on strikes.,S,L,R,SEA,LAA,B,,,0,2,2025,1.33,0.89,-1.26,2.38,,677347.0,,2,7,Top,,,,,,,-2.611665983848233,-118.25004886696256,-1.708811760319138,12.960697531852183,22.58046600832169,-23.70724043240363,2.96,1.49,,,,81.2,2746.0,6.2,779015,675448,702112,801126,692044,605346,689041,681098,703155,54.27,,,,,,,,58,3,Slider,4,5,5,4,5,4,5,4,Standard,Standard,97.0,0.0,0.018,,,,-0.018,,-1,1,0.314,0.686,24,27,25,28,1,0,,,,,2.56,-1.33,1.33,
FC,2025-03-06,87.1,-0.78,5.68,"Campero, Gustavo",672569,806288,,foul,,,,,3.0,Gustavo Campero called out on strikes.,S,L,R,SEA,LAA,S,,,0,1,2025,0.36,0.62,0.82,2.95,,677347.0,,2,7,Top,,,,,,,3.095111863837444,-126.90619449783996,-1.7069439847351044,3.282617243508188,24.193990231557795,-25.329566520180407,2.96,1.49,,,,87.3,2550.0,6.2,779015,675448,702112,801126,692044,605346,689041,681098,703155,54.3,,,,,,,,58,2,Cutter,4,5,5,4,5,4,5,4,Standard,Standard,188.0,0.0,-0.067,,,,0.067,,-1,1,0.314,0.686,24,27,25,28,1,0,,,,,2.36,-0.36,0.36,
