pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2025-03-25,85.3,-2.73,4.97,"Robinson, Chuckie",642020,669193,sac_bunt,hit_into_play,,,,,12.0,"Chuckie Robinson out on a sacrifice bunt, catcher Chris Okey to first baseman Joe Vetrano. Cole Fontenelle to 2nd.",S,R,R,LAA,LAD,X,2.0,ground_ball,0,0,2025,0.63,0.54,1.31,2.7,,,694304.0,0,7,Bot,125.79,196.29,,,,,8.258588619401921,-123.89027268405738,0.0112023060581737,4.470159465797978,29.43354669525717,-26.944586082216514,3.43,1.67,1.0,21.4,-63.0,85.0,2268.0,6.7,787997,608360,694838,621035,500743,683169,571771,681624,814307,53.84,0.234,,0.2,,0.0,0.0,1.0,49,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,155.0,-0.033,-0.028,10.2,1.6,0.234,0.028,88.0,-1,-1,0.431,0.431,27,30,27,31,1,0,,,,,2.65,-0.63,-0.63,
FF,2025-03-25,94.0,-1.82,6.49,"Robinson, Chuckie",642020,689233,field_out,hit_into_play,,,,,14.0,Chuckie Robinson lines out to center fielder Kendall George.,S,R,R,LAA,LAD,X,8.0,line_drive,1,0,2025,-0.68,1.44,0.32,1.26,,702574.0,,2,9,Bot,143.54,83.64,,,,,7.053175657249723,-136.33028684099878,-10.932282122080998,-10.118270692485831,33.054897187136525,-11.905819167913286,3.43,1.67,291.0,82.2,26.0,93.5,2133.0,6.4,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.07,0.166,,0.0,,0.0,0.0,3.0,67,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,210.0,-0.016,-0.315,73.6,8.0,0.208,0.315,88.0,-3,-3,0.016,0.016,25,30,26,31,1,1,,,,,1.18,0.68,0.68,
FF,2025-03-25,94.4,-1.83,6.41,"Robinson, Chuckie",642020,689233,,ball,,,,,14.0,Chuckie Robinson lines out to center fielder Kendall George.,S,R,R,LAA,LAD,B,,,0,0,2025,-0.84,1.19,1.92,1.03,,,702574.0,2,9,Bot,,,,,,,11.593598312895129,-136.66583790854423,-10.90717247152886,-13.058747954727412,30.62805178164418,-14.856224580157354,3.51,1.6,,,,94.2,2226.0,6.5,787997,608360,694838,703639,702488,683169,621035,806077,814307,54.03,,,,,,,,67,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,220.0,0.002,0.034,,,,-0.034,,-3,-3,0.014,0.014,25,30,26,31,1,1,,,,,1.4,0.84,0.84,
FF,2025-03-24,95.8,-2.32,6.12,"Robinson, Chuckie",642020,692064,walk,ball,,,,,11.0,Chuckie Robinson walks.,S,R,R,LAA,LAD,B,,,3,0,2025,-0.82,1.1,-0.24,3.86,,,,0,9,Bot,,,,,,,7.4745965134683185,-139.28236044856652,-2.8120257555908905,-12.51354329517716,34.879221818063506,-17.517679659533215,3.33,1.65,,,,96.8,2036.0,7.2,787999,608360,694838,703639,702488,683169,814307,681624,806077,53.33,,,0.7,,0.0,0.0,,70,4,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,223.0,0.134,0.197,,,,-0.197,,-1,-1,0.194,0.194,23,30,24,31,1,0,,,,,1.41,0.82,0.82,
SI,2025-03-24,94.1,-2.68,6.09,"Robinson, Chuckie",642020,692064,,ball,,,,,11.0,Chuckie Robinson walks.,S,R,R,LAA,LAD,B,,,2,0,2025,-1.33,0.92,-2.1,2.85,,,,0,9,Bot,,,,,,,4.516483739136555,-136.9107309222022,-4.732843831530566,-17.73689780983991,32.036960688662134,-19.821614822901388,3.54,1.86,,,,95.1,2119.0,7.0,787999,608360,694838,703639,702488,683169,814307,681624,806077,53.49,,,,,,,,70,3,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,221.0,0.0,0.147,,,,-0.147,,-1,-1,0.194,0.194,23,30,24,31,1,0,,,,,1.67,1.33,1.33,
SL,2025-03-24,85.3,-2.3,5.94,"Robinson, Chuckie",642020,692064,,ball,,,,,14.0,Chuckie Robinson walks.,S,R,R,LAA,LAD,B,,,1,0,2025,0.17,0.16,0.59,1.24,,,,0,9,Bot,,,,,,,6.543521395491874,-124.01905504227184,-5.111860675114004,0.353874869937847,25.70430785726445,-29.696907787034792,3.59,1.84,,,,86.4,2115.0,7.1,787999,608360,694838,703639,702488,683169,814307,681624,806077,53.36,,,,,,,,70,2,Slider,3,4,3,4,4,3,3,4,Standard,Standard,80.0,0.0,0.069,,,,-0.069,,-1,-1,0.194,0.194,23,30,24,31,1,0,,,,,2.99,-0.17,-0.17,
SI,2025-03-24,96.6,-2.52,6.12,"Robinson, Chuckie",642020,692064,,ball,,,,,14.0,Chuckie Robinson walks.,S,R,R,LAA,LAD,B,,,0,0,2025,-1.37,1.19,0.63,0.66,,,,0,9,Bot,,,,,,,11.660276360131029,-139.78598513839378,-11.795932210944557,-20.605739882719107,31.96045007253972,-13.894629309913944,3.4,1.69,,,,97.7,2161.0,7.3,787999,608360,694838,703639,702488,683169,814307,681624,806077,53.25,,,,,,,,70,1,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,219.0,0.0,0.038,,,,-0.038,,-1,-1,0.194,0.194,23,30,24,31,1,0,,,,,1.28,1.37,1.37,
FF,2025-03-23,92.2,0.31,5.87,"Robinson, Chuckie",642020,681911,field_out,hit_into_play,,,,,5.0,Chuckie Robinson flies out to center fielder Andy Pages.,S,R,L,LAD,LAA,X,8.0,fly_ball,3,2,2025,0.6,1.57,0.11,2.36,,,,0,9,Top,157.25,81.6,,,,,-1.833678915607385,-134.1558925790227,-6.512436512006772,7.689693067536294,29.094945764463855,-12.052617061836372,3.43,1.67,303.0,93.0,47.0,92.4,2412.0,6.4,787998,608360,694838,703639,702488,683169,806077,681624,814307,54.07,0.006,,0.0,,0.0,0.0,3.0,75,7,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,163.0,0.001,-0.333,70.8,7.3,0.012,0.333,93.0,6,-6,0.998,0.002,29,30,29,31,1,0,,,,,1.12,0.6,-0.6,
SL,2025-03-23,83.7,0.4,6.1,"Robinson, Chuckie",642020,681911,,ball,,,,,11.0,Chuckie Robinson flies out to center fielder Andy Pages.,S,R,L,LAD,LAA,B,,,2,2,2025,-0.5,0.08,-1.24,2.55,,,,0,9,Top,,,,,,,-2.8102854625455147,-121.9379018070387,-1.995658931583189,-4.469400023825886,22.024812631859064,-31.24527841017635,3.4,1.63,,,,84.0,2385.0,6.3,787998,608360,694838,703639,702488,683169,806077,681624,814307,54.23,,,,,,,,75,6,Slider,7,1,1,7,1,7,1,7,Standard,Standard,223.0,0.0,0.107,,,,-0.107,,6,-6,0.998,0.002,29,30,29,31,1,0,,,,,3.15,-0.5,0.5,
FF,2025-03-23,91.2,0.33,5.96,"Robinson, Chuckie",642020,681911,,foul,,,,,8.0,Chuckie Robinson flies out to center fielder Andy Pages.,S,R,L,LAD,LAA,S,,,2,2,2025,0.67,1.59,0.14,2.18,,,,0,9,Top,,,,,,,-1.9139646876044316,-132.73589693566558,-7.0410595400726415,8.27595174070247,29.11268369137631,-12.1286854472956,3.43,1.67,139.0,75.5,13.0,91.6,2368.0,6.6,787998,608360,694838,703639,702488,683169,806077,681624,814307,53.94,,,,,,,,75,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,162.0,0.0,0.0,73.7,7.0,,0.0,88.0,6,-6,0.998,0.002,29,30,29,31,1,0,,,,,1.16,0.67,-0.67,
