pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-10-09,90.1,2.23,5.73,"Wilson, Weston",642215,500779,field_out,hit_into_play,,,,,3.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,X,8.0,line_drive,3,2,2024,1.42,0.98,0.31,3.34,,,,0,5,Top,121.43,60.57,,,,,-7.826452887926967,-130.7936175836972,-1.9133964176391345,18.087071659379916,33.09496448226687,-20.85386198971777,3.61,1.63,343.0,102.1,18.0,89.4,2045.0,6.5,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.04,0.434,0.506,0.0,1.0,0.0,0.0,5.0,35,6,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,135.0,0.023,-0.333,67.5,6.7,0.777,0.333,102.1,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,1.89,1.42,-1.42,46.2
CH,2024-10-09,83.4,2.51,5.76,"Wilson, Weston",642215,500779,,ball,,,,,14.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,B,,,2,2,2024,1.49,-0.19,1.73,1.58,,,,0,5,Top,,,,,,,-4.7411132644013625,-121.17973214414415,-2.6108960017920864,15.560891053199969,29.586921118112013,-33.664062397892216,3.59,1.63,,,,82.6,1401.0,6.4,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.08,,,,,,,,35,5,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,121.0,0.0,0.107,,,,-0.107,,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,3.55,1.49,-1.49,40.7
CU,2024-10-09,77.5,2.3,5.82,"Wilson, Weston",642215,500779,,ball,,,,,13.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,B,,,1,2,2024,-0.92,-0.8,-0.4,1.03,,,,0,5,Top,,,,,,,-4.097646318849897,-112.70098004975348,-1.712440748748774,-6.8674310966539585,23.466544688754933,-38.84756780695556,3.63,1.63,,,,77.1,2200.0,6.3,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.15,,,,,,,,35,4,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,317.0,0.0,0.04,,,,-0.04,,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,4.65,-0.92,0.92,43.7
FF,2024-10-09,90.8,2.4,5.8,"Wilson, Weston",642215,500779,,ball,,,,,12.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,B,,,0,2,2024,0.3,1.48,0.5,4.76,,,,0,5,Top,,,,,,,-5.384471342196833,-131.93109483192407,0.3592229239880897,4.914449475568592,37.50030829485833,-15.738429934505758,3.73,1.63,,,,89.6,2065.0,6.4,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.09,,,,,,,,35,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,147.0,0.0,0.023,,,,-0.023,,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,1.37,0.3,-0.3,41.8
CH,2024-10-09,84.5,2.35,5.83,"Wilson, Weston",642215,500779,,swinging_strike,,,,,14.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,S,,,0,1,2024,1.47,0.27,1.18,1.18,,,,0,5,Top,,,,,,,-5.643766589391264,-122.749294305535,-4.874545604446103,15.987003977862654,28.408991183038054,-28.6143450058703,3.61,1.63,,,,83.7,1391.0,6.3,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.24,,,,,,,,35,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,130.0,0.0,-0.054,73.0,8.6,,0.054,,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,2.98,1.47,-1.47,40.8
FF,2024-10-09,89.9,2.33,5.84,"Wilson, Weston",642215,500779,,swinging_strike,,,,,12.0,Weston Wilson lines out sharply to center fielder Tyrone Taylor.,D,R,L,NYM,PHI,S,,,0,0,2024,0.23,1.56,0.53,4.27,,,,0,5,Top,,,,,,,-4.954113779535954,-130.62359127655418,-1.0740591891800215,3.86376025478904,33.68741099742304,-14.576558449709092,3.61,1.63,,,,89.1,2060.0,6.4,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.12,,,,,,,,35,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,153.0,0.0,-0.037,46.0,5.9,,0.037,,-1,1,0.356,0.644,35,29,35,30,2,1,6.0,10.0,8.0,,1.32,0.23,-0.23,41.2
CH,2024-10-09,85.8,2.47,5.9,"Wilson, Weston",642215,500779,field_out,hit_into_play,,,,,14.0,Weston Wilson lines out to right fielder Starling Marte.,D,R,L,NYM,PHI,X,9.0,line_drive,1,1,2024,1.41,0.35,1.13,2.23,,,,0,3,Top,197.17,77.92,,,,,-6.006378611803662,-124.60675759559837,-2.975981427576562,15.895399242948518,29.920425257098827,-28.154526019070317,3.61,1.63,346.0,97.8,22.0,84.7,1269.0,6.2,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.35,0.331,0.454,0.0,1.0,0.0,0.0,5.0,20,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,124.0,0.025,-0.243,75.0,7.6,0.732,0.243,97.8,0,0,0.5,0.5,35,29,35,30,1,0,6.0,10.0,8.0,,2.81,1.41,-1.41,41.9
CH,2024-10-09,84.4,2.37,5.94,"Wilson, Weston",642215,500779,,ball,,,,,14.0,Weston Wilson lines out to right fielder Starling Marte.,D,R,L,NYM,PHI,B,,,0,1,2024,1.15,0.21,1.22,1.56,,,,0,3,Top,,,,,,,-4.927080047434017,-122.69452969325036,-4.162461316098166,12.61007726149358,27.004817352639964,-29.338041643071396,3.79,1.69,,,,83.6,1306.0,6.1,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.4,,,,,,,,20,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,127.0,0.0,0.025,,,,-0.025,,0,0,0.5,0.5,35,29,35,30,1,0,6.0,10.0,8.0,,3.02,1.15,-1.15,42.6
CU,2024-10-09,76.7,2.32,5.93,"Wilson, Weston",642215,500779,,called_strike,,,,,14.0,Weston Wilson lines out to right fielder Starling Marte.,D,R,L,NYM,PHI,S,,,0,0,2024,-0.45,-0.7,1.04,2.26,,,,0,3,Top,,,,,,,-1.8896601492190708,-111.71376886887496,0.4783749066431477,-3.384430852656436,20.18822590113719,-38.3316820852666,3.63,1.55,,,,76.5,2105.0,6.1,775313,682626,624413,578428,668901,596019,607043,621438,516782,54.39,,,,,,,,20,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,304.0,0.0,-0.037,,,,0.037,,0,0,0.5,0.5,35,29,35,30,1,0,6.0,10.0,8.0,,4.57,-0.45,0.45,44.3
SI,2024-10-09,91.3,2.16,6.29,"Wilson, Weston",642215,656849,field_out,hit_into_play,,,,,8.0,"Weston Wilson grounds out, third baseman Mark Vientos to first baseman Pete Alonso.",D,R,L,NYM,PHI,X,5.0,ground_ball,1,0,2024,1.21,0.64,-0.14,2.2,,,,0,7,Top,98.09,166.57,,,,,-8.522236631903988,-132.48754078414595,-5.730713092589064,16.224509322210476,32.68689245415609,-23.51990503516475,3.61,1.63,50.0,93.9,1.0,91.8,2161.0,7.1,775313,682626,624413,578428,668901,596019,607043,621438,516782,53.4,0.394,0.372,0.0,1.0,0.0,0.0,2.0,56,2,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,149.0,0.022,-0.292,75.0,7.5,0.467,0.292,93.9,3,-3,0.902,0.098,28,29,29,30,1,2,4.0,10.0,4.0,,2.15,1.21,-1.21,41.7
