pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2025-04-02,82.7,-1.33,5.88,"Arias, Gabriel",672356,656302,strikeout,called_strike,,,,,9.0,Gabriel Arias called out on strikes.,R,R,R,SD,CLE,S,2.0,,0,2,2025,1.34,-0.42,0.63,1.92,,,,1,5,Top,,,,,,,1.8419835020419228,-120.29408858352258,-1.5339467939506224,12.271165155411198,29.474567829559813,-36.03736415917671,3.42,1.51,,,,81.9,2799.0,6.4,778476,455117,650333,630105,578428,593428,657757,701538,665487,54.14,,0.0,0.0,1.0,0.0,0.0,,36,3,Sweeper,4,0,0,4,0,4,0,4,Standard,Standard,45.0,0.011,-0.162,,,,0.162,,4,-4,0.921,0.079,29,25,30,25,2,1,5.0,1.0,,,3.83,-1.34,-1.34,46.2
FF,2025-04-02,96.0,-0.93,6.29,"Arias, Gabriel",672356,656302,,foul,,,,,12.0,Gabriel Arias called out on strikes.,R,R,R,SD,CLE,S,,,0,1,2025,-0.45,1.82,0.48,3.76,,,,1,5,Top,,,,,,,4.740322253541912,-139.49747606443412,-5.03499177527669,-7.077654564659767,40.22431172961394,-7.749837440162301,3.44,1.58,183.0,67.8,52.0,94.7,2513.0,6.3,778476,455117,650333,630105,578428,593428,657757,701538,665487,54.24,,,,,,,,36,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,193.0,0.0,-0.057,46.5,6.8,,0.057,88.0,4,-4,0.921,0.079,29,25,30,25,2,1,5.0,1.0,,,0.72,0.45,0.45,53.4
SL,2025-04-02,87.9,-1.13,6.08,"Arias, Gabriel",672356,656302,,called_strike,,,,,4.0,Gabriel Arias called out on strikes.,R,R,R,SD,CLE,S,,,0,0,2025,-0.09,0.36,-0.29,2.51,,,,1,5,Top,,,,,,,2.2214464310612607,-127.9457584998118,-3.204440338226153,-1.4933283208770658,29.807338256941993,-27.7734682145637,3.4,1.52,,,,87.5,2707.0,6.3,778476,455117,650333,630105,578428,593428,657757,701538,665487,54.21,,,,,,,,36,1,Slider,4,0,0,4,0,4,0,4,Standard,Standard,117.0,0.0,-0.037,,,,0.037,,4,-4,0.921,0.079,29,25,30,25,2,1,5.0,1.0,,,2.62,0.09,0.09,51.4
SL,2025-04-02,87.9,-1.36,6.02,"Arias, Gabriel",672356,656302,field_out,hit_into_play,,,,,7.0,"Gabriel Arias grounds out, third baseman Jose Iglesias to first baseman Luis Arraez.",R,R,R,SD,CLE,X,5.0,ground_ball,0,0,2025,-0.08,0.39,-0.77,2.03,,,,2,2,Top,98.51,171.0,,,,,1.6027188968448476,-128.10591933093562,-4.409551134550528,-1.2380885642179071,25.684715362521352,-27.169693615235943,3.44,1.58,3.0,72.8,-38.0,87.9,2663.0,6.1,778476,455117,650333,630105,578428,593428,657757,701538,665487,54.37,0.097,0.098,0.0,1.0,0.0,0.0,2.0,11,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,146.0,0.01,-0.256,78.4,7.2,0.113,0.256,88.0,0,0,0.54,0.46,29,25,30,25,1,0,5.0,1.0,,,2.54,0.08,0.08,48.0
FF,2025-04-02,97.7,-0.98,6.05,"Arias, Gabriel",672356,663158,field_out,hit_into_play,,,,,4.0,Gabriel Arias flies out to left fielder Brandon Lockridge.,R,R,R,SD,CLE,X,7.0,fly_ball,3,1,2025,-0.61,1.43,-0.42,2.35,,,,2,9,Top,99.2,63.18,,,,,2.9553306445452177,-142.08903710927953,-7.77934130994864,-8.968063073596205,35.52578945759679,-11.224049028427793,3.44,1.58,342.0,98.5,36.0,98.2,2408.0,6.8,778476,455117,650333,630105,578428,593428,663604,701538,665487,53.71,0.186,0.34,0.0,1.0,0.0,0.0,5.0,71,5,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,202.0,0.004,-0.414,81.7,8.1,0.666,0.414,98.5,3,-3,0.996,0.004,34,25,34,25,1,3,5.0,1.0,,,0.98,0.61,0.61,46.9
FF,2025-04-02,98.2,-0.73,6.05,"Arias, Gabriel",672356,663158,,ball,,,,,13.0,Gabriel Arias flies out to left fielder Brandon Lockridge.,R,R,R,SD,CLE,B,,,2,1,2025,-0.85,1.5,-1.1,0.76,,,,2,9,Top,,,,,,,0.9881876432173278,-142.50630413301437,-12.391395806003068,-11.784579666637718,34.55465742294848,-8.988026668630395,3.43,1.51,,,,98.9,2403.0,7.0,778476,455117,650333,630105,578428,593428,663604,701538,665487,53.53,,,,,,,,71,4,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,207.0,0.0,0.112,,,,-0.112,,3,-3,0.996,0.004,34,25,34,25,1,3,5.0,1.0,,,0.88,0.85,0.85,47.6
FF,2025-04-02,98.4,-1.03,6.23,"Arias, Gabriel",672356,663158,,ball,,,,,11.0,Gabriel Arias flies out to left fielder Brandon Lockridge.,R,R,R,SD,CLE,B,,,1,1,2025,-0.44,1.43,-0.46,4.33,,,,2,9,Top,,,,,,,2.5984205739073256,-143.28924913128313,-2.995422370883486,-6.736732708861458,35.64366747093319,-12.10250580405549,3.45,1.53,,,,98.9,2389.0,6.7,778476,455117,650333,630105,578428,593428,663604,701538,665487,53.79,,,,,,,,71,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,203.0,0.0,0.058,,,,-0.058,,3,-3,0.996,0.004,34,25,34,25,1,3,5.0,1.0,,,0.94,0.44,0.44,45.7
FF,2025-04-02,98.0,-0.93,6.15,"Arias, Gabriel",672356,663158,,swinging_strike,,,,,1.0,Gabriel Arias flies out to left fielder Brandon Lockridge.,R,R,R,SD,CLE,S,,,1,0,2025,-0.73,1.43,-0.42,3.32,,,,2,9,Top,,,,,,,3.137021485826375,-142.61698710801224,-5.482119789398038,-10.739550099935704,35.90841884087351,-11.648790595446057,3.44,1.58,,,,98.7,2380.0,6.9,778476,455117,650333,630105,578428,593428,663604,701538,665487,53.62,,,,,,,,71,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,205.0,0.0,-0.051,75.0,6.9,,0.051,,3,-3,0.996,0.004,34,25,34,25,1,3,5.0,1.0,,,0.96,0.73,0.73,46.1
FF,2025-04-02,98.8,-0.87,6.16,"Arias, Gabriel",672356,663158,,ball,,,,,11.0,Gabriel Arias flies out to left fielder Brandon Lockridge.,R,R,R,SD,CLE,B,,,0,0,2025,-0.77,1.47,-0.63,3.85,,,,2,9,Top,,,,,,,2.4410466966835713,-143.82804390849566,-4.250717892198245,-11.163918362849875,36.76910023875816,-11.07004782168015,3.43,1.49,,,,99.3,2363.0,6.8,778476,455117,650333,630105,578428,593428,663604,701538,665487,53.71,,,,,,,,71,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,204.0,0.0,0.04,,,,-0.04,,3,-3,0.996,0.004,34,25,34,25,1,3,5.0,1.0,,,0.88,0.77,0.77,44.6
CH,2025-04-02,88.9,1.05,5.88,"Arias, Gabriel",672356,593974,single,hit_into_play,,,,,14.0,Gabriel Arias singles on a ground ball to pitcher Wandy Peralta. Nolan Jones to 3rd.,R,R,L,SD,CLE,X,1.0,ground_ball,2,1,2025,1.14,0.35,0.85,1.74,,666134.0,,2,7,Top,113.41,185.39,,,,,-2.849457521429793,-129.3508689653644,-4.765727172799646,13.427094993140525,27.482062314894517,-27.465224822759193,3.44,1.58,1.0,61.2,-52.0,87.8,2231.0,5.6,778476,455117,650333,630105,578428,593428,657757,701538,665487,54.89,0.26,0.249,0.9,1.0,1.0,0.0,2.0,54,4,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,132.0,-0.019,0.661,72.8,8.2,0.27,-0.661,88.0,3,-3,0.921,0.079,33,25,34,25,1,2,2.0,1.0,,,2.54,1.14,-1.14,44.2
