pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2025-04-02,97.4,1.45,6.25,"Moore, Dylan",664238,669373,walk,ball,,,,,13.0,Dylan Moore walks.,R,R,L,SEA,DET,B,,,3,2,2025,0.51,1.47,-1.18,2.33,,,,2,6,Bot,,,,,,,-8.275177069401677,-141.40630839286536,-8.373270742163184,8.845378733986605,33.88852094405815,-10.71724748621932,3.43,1.47,,,,97.6,2279.0,6.6,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.87,,0.6863,0.7,1.0,0.0,0.0,,50,7,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,154.0,0.012,0.267,,,,-0.267,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,0.96,0.51,-0.51,49.3
FF,2025-04-02,97.0,1.43,6.29,"Moore, Dylan",664238,669373,,foul,,,,,4.0,Dylan Moore walks.,R,R,L,SEA,DET,S,,,3,2,2025,0.52,1.5,-0.45,2.42,,,,2,6,Bot,,,,,,,-6.26293349735595,-140.87539569008442,-8.197279141979532,8.445016506583276,34.31461734929254,-10.471654030679932,3.28,1.54,190.0,70.6,23.0,97.0,2247.0,6.5,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.95,,,,,,,,50,6,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,151.0,0.0,0.0,73.5,7.0,,0.0,88.0,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,0.94,0.52,-0.52,52.1
FF,2025-04-02,96.1,1.34,6.25,"Moore, Dylan",664238,669373,,called_strike,,,,,8.0,Dylan Moore walks.,R,R,L,SEA,DET,S,,,3,1,2025,0.6,1.51,-0.05,1.56,,,,2,6,Bot,,,,,,,-5.05422571556555,-139.52828899119316,-10.299766773353308,9.019587886563595,31.775728389867385,-10.280232568075776,3.46,1.54,,,,96.6,2189.0,6.7,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.8,,,,,,,,50,5,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,151.0,0.0,-0.089,,,,0.089,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,0.97,0.6,-0.6,53.7
FF,2025-04-02,93.6,1.52,6.21,"Moore, Dylan",664238,669373,,called_strike,,,,,6.0,Dylan Moore walks.,R,R,L,SEA,DET,S,,,3,0,2025,0.64,1.52,0.76,2.55,,,,2,6,Bot,,,,,,,-3.396792913755055,-136.10603505183232,-7.088229885408857,8.698987585748355,30.52417188755009,-11.966559864462347,3.45,1.46,,,,94.0,2236.0,6.6,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.87,,,,,,,,50,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,153.0,0.0,-0.058,,,,0.058,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,1.09,0.64,-0.64,50.6
FF,2025-04-02,93.8,1.41,6.26,"Moore, Dylan",664238,669373,,ball,,,,,2.0,Dylan Moore walks.,R,R,L,SEA,DET,B,,,2,0,2025,0.49,1.58,0.07,3.55,,,,2,6,Bot,,,,,,,-4.575615477573845,-136.5192006316815,-4.783202309513799,7.148738028080238,31.50503224936792,-11.577723867680076,3.43,1.51,,,,94.0,2234.0,6.5,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.99,,,,,,,,50,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,152.0,0.0,0.109,,,,-0.109,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,1.02,0.49,-0.49,52.9
CH,2025-04-02,86.2,1.64,6.23,"Moore, Dylan",664238,669373,,ball,,,,,13.0,Dylan Moore walks.,R,R,L,SEA,DET,B,,,1,0,2025,1.44,0.92,-0.6,0.58,,,,2,6,Bot,,,,,,,-8.239906660446378,-124.95617875399188,-9.019609449894272,16.724392916075985,26.21162727428413,-20.819283116921103,3.47,1.49,,,,86.2,1873.0,6.6,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.94,,,,,,,,50,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,133.0,0.0,0.068,,,,-0.068,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,2.18,1.44,-1.44,48.1
KC,2025-04-02,79.3,1.32,6.34,"Moore, Dylan",664238,669373,,ball,,,,,11.0,Dylan Moore walks.,R,R,L,SEA,DET,B,,,0,0,2025,-0.66,-0.29,-1.22,3.4,,,,2,6,Bot,,,,,,,-4.3314549462217,-115.381290653442,0.9377515591230952,-5.041874041401543,22.596290512702872,-35.13353254935768,3.41,1.43,,,,79.3,2415.0,6.4,778469,668670,679529,690993,656716,700242,682985,668952,681481,54.08,,,,,,,,50,1,Knuckle Curve,3,2,3,2,2,3,3,2,Standard,Standard,319.0,0.0,0.04,,,,-0.04,,1,1,0.71,0.71,28,32,29,33,3,2,6.0,2.0,,,3.93,-0.66,0.66,55.7
SL,2025-04-02,87.4,1.72,6.24,"Moore, Dylan",664238,669373,home_run,hit_into_play,,,,,6.0,Dylan Moore homers (1) on a fly ball to right field.,R,R,L,SEA,DET,X,,fly_ball,0,1,2025,-0.19,0.45,0.52,2.55,,,,0,4,Bot,211.77,86.95,,,,,-2.508887607300328,-127.3301777537747,-3.719300917918624,-1.57227765033201,25.365160847742615,-26.698233494539465,3.28,1.54,348.0,99.0,31.0,88.0,2127.0,6.5,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.99,0.377,0.705,2.0,1.0,0.0,3.0,6.0,31,2,Slider,2,0,2,0,0,3,3,0,Standard,Standard,175.0,0.075,1.151,73.1,6.7,1.358,-1.151,99.0,2,2,0.793,0.793,28,32,29,33,2,1,6.0,2.0,,,2.52,-0.19,0.19,48.6
FF,2025-04-02,96.4,1.38,6.31,"Moore, Dylan",664238,669373,,foul,,,,,2.0,Dylan Moore homers (1) on a fly ball to right field.,R,R,L,SEA,DET,S,,,0,0,2025,0.28,1.39,-0.06,2.78,,,,0,4,Bot,,,,,,,-4.477740443188505,-140.15306775370252,-6.970559453791125,4.6955705678495185,32.3808515153471,-12.4277091602627,3.28,1.54,153.0,80.0,12.0,96.5,2202.0,6.5,778469,668670,679529,690993,656716,700242,682985,668952,681481,54.05,,,,,,,,31,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,159.0,0.0,-0.037,74.4,6.5,,0.037,88.0,2,2,0.793,0.793,28,32,29,33,2,1,6.0,2.0,,,1.07,0.28,-0.28,53.6
FF,2025-04-02,95.4,1.42,6.25,"Moore, Dylan",664238,669373,walk,ball,,,,,13.0,Dylan Moore walks.,R,R,L,SEA,DET,B,,,3,0,2025,0.64,1.36,-0.83,1.15,,,,1,2,Bot,,,,,,,-7.38397640677307,-138.37089598419817,-10.8604126146038,9.853776616644764,30.01015863478354,-12.415236444983568,3.24,1.4,,,,95.7,2286.0,6.6,778469,668670,679529,690993,656716,700242,682985,668952,681481,53.91,,0.6863,0.7,1.0,0.0,0.0,,14,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,151.0,0.026,0.175,,,,-0.175,,0,0,0.527,0.527,28,32,29,33,1,0,6.0,2.0,,,1.15,0.64,-0.64,52.0
