pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2025-04-01,96.0,-1.86,5.87,"Amaya, Miguel",665804,622663,strikeout,swinging_strike,,,,,7.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,S,2.0,,3,2,2025,-1.4,0.87,-0.41,1.75,,,,1,6,Top,,,,,,,6.9799643319947355,-139.39306141708704,-7.226803035464695,-19.772616491330854,33.19596587952514,-19.312132045211403,3.3,1.64,,,,95.6,2034.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.18,,0.0,0.0,1.0,0.0,0.0,,50,7,Sinker,4,6,6,4,6,4,6,4,Standard,Standard,215.0,0.012,-0.332,75.2,8.0,,0.332,,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,1.62,1.4,1.4,41.8
FF,2025-04-01,96.1,-1.71,5.94,"Amaya, Miguel",665804,622663,,ball,,,,,14.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,B,,,2,2,2025,-0.58,1.47,1.03,1.97,,,,1,6,Top,,,,,,,8.551899904635492,-139.50955649034776,-8.2061830660108,-9.525506581590983,33.366330618033906,-11.214774683474504,3.3,1.57,,,,95.7,2272.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.17,,,,,,,,50,6,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,210.0,0.0,0.108,,,,-0.108,,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,1.02,0.58,0.58,41.6
FF,2025-04-01,96.3,-1.84,5.97,"Amaya, Miguel",665804,622663,,foul,,,,,11.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,S,,,2,2,2025,-0.57,1.34,-0.4,3.97,,,,1,6,Top,,,,,,,5.083509954151649,-140.19835056215766,-2.760156264355199,-8.638086613709467,33.026465745734434,-14.07844445865652,3.3,1.64,193.0,70.8,60.0,96.0,2162.0,6.2,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.3,,,,,,,,50,5,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,215.0,0.0,0.0,54.2,6.0,,0.0,88.0,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,1.12,0.57,0.57,39.3
FF,2025-04-01,96.7,-1.98,5.98,"Amaya, Miguel",665804,622663,,foul,,,,,2.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,S,,,2,1,2025,-0.66,1.51,0.2,2.84,,,,1,6,Top,,,,,,,7.304512903962061,-140.37565497389636,-6.152992355450094,-10.596923496488229,37.18408747335175,-11.022992681799527,3.3,1.64,207.0,81.4,65.0,95.8,2214.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.21,,,,,,,,50,4,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,214.0,0.0,-0.078,79.3,7.3,,0.078,88.0,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,0.97,0.66,0.66,41.0
ST,2025-04-01,85.0,-2.05,5.8,"Amaya, Miguel",665804,622663,,ball,,,,,14.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,B,,,1,1,2025,1.65,0.16,0.52,1.25,,,,1,6,Top,,,,,,,2.6947732860816336,-123.54516528611396,-4.485024856832472,15.98688892210726,29.96214529704716,-29.72734455113932,3.38,1.64,,,,84.1,2544.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.24,,,,,,,,50,3,Sweeper,4,6,6,4,6,4,6,4,Standard,Standard,68.0,0.0,0.059,,,,-0.059,,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,3.06,-1.65,-1.65,32.7
FF,2025-04-01,96.3,-2.01,5.98,"Amaya, Miguel",665804,622663,,called_strike,,,,,12.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,S,,,1,0,2025,-0.72,1.41,0.84,2.56,,,,1,6,Top,,,,,,,9.18352271158448,-139.73143392985074,-6.588093013866523,-11.781858827664404,36.830923768980774,-12.337734883691647,3.38,1.64,,,,95.3,2356.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.23,,,,,,,,50,2,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,212.0,0.0,-0.051,,,,0.051,,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,1.09,0.72,0.72,40.9
FF,2025-04-01,96.5,-1.87,6.05,"Amaya, Miguel",665804,622663,,ball,,,,,14.0,Miguel Amaya strikes out swinging.,R,R,R,ATH,CHC,B,,,0,0,2025,-0.55,1.4,1.24,2.26,,,,1,6,Top,,,,,,,9.479294225360922,-139.82764672044885,-7.500772752719056,-9.71140572548414,37.89134923055162,-12.271835319170997,3.38,1.64,,,,95.1,2225.0,6.2,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.33,,,,,,,,50,1,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,217.0,0.0,0.039,,,,-0.039,,-2,2,0.228,0.772,31,26,31,26,3,2,5.0,2.0,,,1.11,0.55,0.55,40.5
SI,2025-04-01,95.3,-1.94,6.0,"Amaya, Miguel",665804,622663,single,hit_into_play,,,,,11.0,Miguel Amaya singles on a fly ball to left fielder Miguel Andujar. Pete Crow-Armstrong to 3rd. Matt Shaw to 2nd.,R,R,R,ATH,CHC,X,7.0,fly_ball,3,2,2025,-1.25,1.0,-0.63,3.5,,691718.0,807713.0,0,4,Top,84.82,135.11,,,,,6.237096341436369,-138.55256123383802,-3.134381787233037,-17.514916458193678,33.643512006999316,-18.80963010543005,3.3,1.64,192.0,60.7,44.0,94.8,2014.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.23,0.237,0.229,0.9,1.0,1.0,0.0,3.0,33,6,Sinker,4,5,5,4,5,4,5,4,Standard,Standard,208.0,-0.071,0.384,,,0.286,-0.384,88.0,-1,1,0.285,0.715,31,26,31,26,2,1,5.0,2.0,,,1.53,1.25,1.25,40.0
FF,2025-04-01,95.3,-2.08,5.96,"Amaya, Miguel",665804,622663,,foul,,,,,6.0,Miguel Amaya singles on a fly ball to left fielder Miguel Andujar. Pete Crow-Armstrong to 3rd. Matt Shaw to 2nd.,R,R,R,ATH,CHC,S,,,3,1,2025,-0.53,1.25,0.44,2.78,,691718.0,807713.0,0,4,Top,,,,,,,7.796285643751636,-138.33669841559038,-5.417269791429244,-8.786811939818426,36.20437620791719,-15.073409758912565,3.3,1.64,,,,94.4,2127.0,6.3,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.18,,,,,,,,33,5,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,213.0,0.0,-0.095,70.2,6.3,,0.095,,-1,1,0.285,0.715,31,26,31,26,2,1,5.0,2.0,,,1.3,0.53,0.53,44.1
FF,2025-04-01,95.1,-2.04,5.95,"Amaya, Miguel",665804,622663,,ball,,,,,14.0,Miguel Amaya singles on a fly ball to left fielder Miguel Andujar. Pete Crow-Armstrong to 3rd. Matt Shaw to 2nd.,R,R,R,ATH,CHC,B,,,2,1,2025,-0.7,1.4,1.14,1.27,,691718.0,807713.0,0,4,Top,,,,,,,9.920903689612484,-137.77118566335096,-9.697073170353104,-11.145839795953863,31.715907911105816,-12.273032033365356,3.28,1.62,,,,94.9,2126.0,6.5,778494,669127,691016,691777,570482,805779,609280,668709,671732,54.0,,,,,,,,33,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,214.0,0.0,0.137,,,,-0.137,,-1,1,0.285,0.715,31,26,31,26,2,1,5.0,2.0,,,1.15,0.7,0.7,39.7
