pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SI,"Walker, Taijuan",592836,665489,home_run,hit_into_play,Vladimir Guerrero Jr. homers (28) on a line drive to left field. George Springer scores.,2024,Sinker
SI,"Walker, Taijuan",592836,665489,No event,ball,Vladimir Guerrero Jr. homers (28) on a line drive to left field. George Springer scores.,2024,Sinker
ST,"Walker, Taijuan",592836,662139,field_out,hit_into_play,Daulton Varsho pops out to first baseman Bryce Harper in foul territory.,2024,Sweeper
FF,"Walker, Taijuan",592836,543807,single,hit_into_play,George Springer singles on a line drive to center fielder Johan Rojas.,2024,4-Seam Fastball
ST,"Walker, Taijuan",592836,543807,No event,foul,George Springer singles on a line drive to center fielder Johan Rojas.,2024,Sweeper
ST,"Walker, Taijuan",592836,543807,No event,called_strike,George Springer singles on a line drive to center fielder Johan Rojas.,2024,Sweeper
SI,"Walker, Taijuan",592836,543807,No event,ball,George Springer singles on a line drive to center fielder Johan Rojas.,2024,Sinker
CU,"Walker, Taijuan",592836,694388,grounded_into_double_play,hit_into_play,"Joey Loperfido grounds into a double play, second baseman Bryson Stott to shortstop Trea Turner to first baseman Bryce Harper. Ernie Clement out at 2nd. Joey Loperfido out at 1st.",2024,Curveball
SI,"Walker, Taijuan",592836,694388,No event,ball,"Joey Loperfido grounds into a double play, second baseman Bryson Stott to shortstop Trea Turner to first baseman Bryce Harper. Ernie Clement out at 2nd. Joey Loperfido out at 1st.",2024,Sinker
FF,"Walker, Taijuan",592836,694388,No event,foul_tip,"Joey Loperfido grounds into a double play, second baseman Bryson Stott to shortstop Trea Turner to first baseman Bryce Harper. Ernie Clement out at 2nd. Joey Loperfido out at 1st.",2024,4-Seam Fastball
FS,"Walker, Taijuan",592836,694388,No event,called_strike,"Joey Loperfido grounds into a double play, second baseman Bryson Stott to shortstop Trea Turner to first baseman Bryce Harper. Ernie Clement out at 2nd. Joey Loperfido out at 1st.",2024,Split-Finger
SI,"Walker, Taijuan",592836,676391,single,hit_into_play,Ernie Clement singles on a sharp ground ball to left fielder Brandon Marsh. Alejandro Kirk to 2nd.,2024,Sinker
FF,"Walker, Taijuan",592836,680718,field_out,hit_into_play,Addison Barger flies out to center fielder Johan Rojas.,2024,4-Seam Fastball
FS,"Walker, Taijuan",592836,680718,No event,foul,Addison Barger flies out to center fielder Johan Rojas.,2024,Split-Finger
ST,"Walker, Taijuan",592836,680718,No event,foul,Addison Barger flies out to center fielder Johan Rojas.,2024,Sweeper
FF,"Walker, Taijuan",592836,680718,No event,swinging_strike,Addison Barger flies out to center fielder Johan Rojas.,2024,4-Seam Fastball
ST,"Walker, Taijuan",592836,680718,No event,swinging_strike,Addison Barger flies out to center fielder Johan Rojas.,2024,Sweeper
ST,"Walker, Taijuan",592836,680718,No event,ball,Addison Barger flies out to center fielder Johan Rojas.,2024,Sweeper
FS,"Walker, Taijuan",592836,672386,single,hit_into_play,Alejandro Kirk singles on a soft ground ball to third baseman Edmundo Sosa.,2024,Split-Finger
