pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
EP,"Stubbs, Garrett",596117,671732,No event,swinging_strike,Lawrence Butler flies out to center fielder Johan Rojas.,2024,Eephus
EP,"Stubbs, Garrett",596117,671732,No event,ball,Lawrence Butler flies out to center fielder Johan Rojas.,2024,Eephus
EP,"Stubbs, Garrett",596117,680474,field_out,hit_into_play,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
EP,"Stubbs, Garrett",596117,680474,No event,ball,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
EP,"Stubbs, Garrett",596117,680474,No event,foul,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
EP,"Stubbs, Garrett",596117,680474,No event,foul,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
EP,"Stubbs, Garrett",596117,680474,No event,ball,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
EP,"Stubbs, Garrett",596117,680474,No event,ball,"Max Schuemann grounds out, third baseman Alec Bohm to first baseman Weston Wilson.",2024,Eephus
FA,"Stubbs, Garrett",596117,695391,field_out,hit_into_play,Brett Harris lines out to right fielder Nick Castellanos.,2024,Other
FA,"Stubbs, Garrett",596117,695391,No event,called_strike,Brett Harris lines out to right fielder Nick Castellanos.,2024,Other
EP,"Stubbs, Garrett",596117,695391,No event,called_strike,Brett Harris lines out to right fielder Nick Castellanos.,2024,Eephus
EP,"Stubbs, Garrett",596117,680869,home_run,hit_into_play,Zack Gelof hits a grand slam (12) to center field. Kyle McCann scores. Shea Langeliers scores. Seth Brown scores.,2024,Eephus
EP,"Stubbs, Garrett",596117,664913,single,hit_into_play,Seth Brown singles on a ground ball to left fielder Brandon Marsh. JJ Bleday scores. Kyle McCann to 3rd. Shea Langeliers to 2nd.,2024,Eephus
EP,"Stubbs, Garrett",596117,669127,walk,ball,Shea Langeliers walks. Kyle McCann to 2nd.,2024,Eephus
EP,"Stubbs, Garrett",596117,669127,No event,ball,Shea Langeliers walks. Kyle McCann to 2nd.,2024,Eephus
EP,"Stubbs, Garrett",596117,669127,No event,blocked_ball,Shea Langeliers walks. Kyle McCann to 2nd.,2024,Eephus
EP,"Stubbs, Garrett",596117,669127,No event,blocked_ball,Shea Langeliers walks. Kyle McCann to 2nd.,2024,Eephus
EP,"Stubbs, Garrett",596117,668832,single,hit_into_play,Kyle McCann singles on a ground ball to center fielder Johan Rojas. JJ Bleday to 3rd.,2024,Eephus
EP,"Stubbs, Garrett",596117,668832,No event,called_strike,Kyle McCann singles on a ground ball to center fielder Johan Rojas. JJ Bleday to 3rd.,2024,Eephus
EP,"Stubbs, Garrett",596117,668709,double,hit_into_play,JJ Bleday doubles (25) on a line drive to right fielder Nick Castellanos.,2024,Eephus
EP,"Stubbs, Garrett",596117,668709,No event,ball,JJ Bleday doubles (25) on a line drive to right fielder Nick Castellanos.,2024,Eephus
