pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
CH,"Sánchez, Cristopher",650911,518692,No event,foul,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Changeup
SI,"Sánchez, Cristopher",650911,518692,No event,ball,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Sinker
SI,"Sánchez, Cristopher",650911,518692,No event,foul,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Sinker
CH,"Sánchez, Cristopher",650911,518692,No event,foul,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Changeup
CH,"Sánchez, Cristopher",650911,518692,No event,foul,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Changeup
CH,"Sánchez, Cristopher",650911,518692,No event,foul,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Changeup
SI,"Sánchez, Cristopher",650911,518692,No event,called_strike,"Freddie Freeman grounds out, shortstop Trea Turner to first baseman Alec Bohm. Teoscar Hernández to 2nd.",2024,Sinker
CH,"Sánchez, Cristopher",650911,606192,single,hit_into_play,Teoscar Hernández singles on a sharp line drive to left fielder Whit Merrifield.,2024,Changeup
SL,"Sánchez, Cristopher",650911,606192,No event,swinging_strike,Teoscar Hernández singles on a sharp line drive to left fielder Whit Merrifield.,2024,Slider
SI,"Sánchez, Cristopher",650911,606192,No event,called_strike,Teoscar Hernández singles on a sharp line drive to left fielder Whit Merrifield.,2024,Sinker
SI,"Sánchez, Cristopher",650911,606192,No event,ball,Teoscar Hernández singles on a sharp line drive to left fielder Whit Merrifield.,2024,Sinker
SI,"Sánchez, Cristopher",650911,660271,field_out,hit_into_play,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Sinker
SI,"Sánchez, Cristopher",650911,660271,No event,ball,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Sinker
CH,"Sánchez, Cristopher",650911,660271,No event,ball,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Changeup
CH,"Sánchez, Cristopher",650911,660271,No event,swinging_strike,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Changeup
CH,"Sánchez, Cristopher",650911,660271,No event,ball,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Changeup
SI,"Sánchez, Cristopher",650911,660271,No event,called_strike,"Shohei Ohtani grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Sinker
SI,"Sánchez, Cristopher",650911,605131,field_out,hit_into_play,Austin Barnes lines out to center fielder Brandon Marsh.,2024,Sinker
SI,"Sánchez, Cristopher",650911,605131,No event,ball,Austin Barnes lines out to center fielder Brandon Marsh.,2024,Sinker
SI,"Sánchez, Cristopher",650911,571771,field_out,hit_into_play,Enrique Hernández flies out to right fielder Nick Castellanos.,2024,Sinker
SI,"Sánchez, Cristopher",650911,571771,No event,ball,Enrique Hernández flies out to right fielder Nick Castellanos.,2024,Sinker
SI,"Sánchez, Cristopher",650911,571771,No event,ball,Enrique Hernández flies out to right fielder Nick Castellanos.,2024,Sinker
CH,"Sánchez, Cristopher",650911,621035,field_out,hit_into_play,"Chris Taylor grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",2024,Changeup
SL,"Sánchez, Cristopher",650911,621035,No event,foul,"Chris Taylor grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",2024,Slider
CH,"Sánchez, Cristopher",650911,621035,No event,ball,"Chris Taylor grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",2024,Changeup
CH,"Sánchez, Cristopher",650911,621035,No event,foul,"Chris Taylor grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",2024,Changeup
CH,"Sánchez, Cristopher",650911,621035,No event,swinging_strike,"Chris Taylor grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",2024,Changeup
CH,"Sánchez, Cristopher",650911,678246,field_out,hit_into_play,"Miguel Vargas grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Changeup
SL,"Sánchez, Cristopher",650911,678246,No event,foul,"Miguel Vargas grounds out, shortstop Trea Turner to first baseman Alec Bohm.",2024,Slider
